WRstation_id,NOAAstation_id,Parameter,ValueOne,ValueLabelOne,ValueOneColor,ValueTwo,ValueLabelTwo,ValueTwoColor
A01,RICV2,Stage,,,,,,
A02,RICV2,Stage,,,,,,
A03,MTCV2,Stage,5.5,High Caution,Red,,,
A08,MTCV2,Stage,,,,,,
C01,JSFV2,Stage,,,,,,
C05,CKHV2,Stage,,,,,,
CC01,JSFV2,Stage,,,,,,
CC02,JSFV2,Stage,,,,,,
DC01,SWPV2,Stage,,,,,,
H01,SVEV2,Stage,8,High Caution,Red,,,
H02,FTMV2,Stage,,,,,,
J03,SWPV2,Stage,,,,,,
J04,SWPV2,Stage,,,,,,
J05,JSFV2,Stage,,,,,,
J08,RICV2,Stage,5,Caution,,7,High Caution,Red
J08,RICV2,Stage,7,High Caution,Red,,,
J09,RICV2,Stage,,,,,,
J10,RICV2,Stage,5,Caution,Yellow,7,High Caution,Red
J20,RMDV2,Stage,5,Caution,Yellow,7,High Caution,Red
J21,RMDV2,Stage,5,Caution,Yellow,7,High Caution,Red
J22,RMDV2,Stage,5,Caution,Yellow,7,High Caution,Red
J23,RMDV2,Stage,5,Caution,Yellow,7,High Caution,Red
J24,RMDV2,Stage,5,Caution,Yellow,7,High Caution,Red
J26,RMDV2,Stage,5,Caution,Yellow,6,High Caution,Red
J29,CARV2,Stage,,,,,,
J30,SVEV2,Stage,6,High Caution,Red,,,
J35,HRKV2,Stage,7,High Caution,Red,,,
J40,BNNV2,Stage,6,High Caution,Red,,,
M05,BVSV2,Stage,,,,,,
P05,JSFV2,Stage,,,,,,
R20,PYAV2,Stage,6,High Caution,Red,,,
R23,PYAV2,Stage,4,High Caution,Red,,,
VDH-AP,SWPV2,Stage,,,,,,
VDH-HB,SWPV2,Stage,,,,,,
VDH-HTP,SWPV2,Stage,,,,,,
VDH-KL,SWPV2,Stage,,,,,,